PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
75567 CEDEX 12,Paris 12,Paris 12,48.8412,2.3876,3,Hotel,Bistro,Supermarket,French Restaurant,Chinese Restaurant,Middle Eastern Restaurant,Italian Restaurant,Japanese Restaurant,Furniture / Home Store,Soup Place
75572 CEDEX 12,Paris 12,Paris 12,48.8412,2.3876,3,Hotel,Bistro,Supermarket,French Restaurant,Chinese Restaurant,Middle Eastern Restaurant,Italian Restaurant,Japanese Restaurant,Furniture / Home Store,Soup Place
75575 CEDEX 12,Paris 12,Paris 12,48.8412,2.3876,3,Hotel,Bistro,Supermarket,French Restaurant,Chinese Restaurant,Middle Eastern Restaurant,Italian Restaurant,Japanese Restaurant,Furniture / Home Store,Soup Place
75582 CEDEX 12,Paris 12,Paris 12,48.8412,2.3876,3,Hotel,Bistro,Supermarket,French Restaurant,Chinese Restaurant,Middle Eastern Restaurant,Italian Restaurant,Japanese Restaurant,Furniture / Home Store,Soup Place
75585 CEDEX 12,Paris 12,Paris 12,48.8412,2.3876,3,Hotel,Bistro,Supermarket,French Restaurant,Chinese Restaurant,Middle Eastern Restaurant,Italian Restaurant,Japanese Restaurant,Furniture / Home Store,Soup Place
75603 CEDEX 12,Paris 12,Paris 12,48.8412,2.3876,3,Hotel,Bistro,Supermarket,French Restaurant,Chinese Restaurant,Middle Eastern Restaurant,Italian Restaurant,Japanese Restaurant,Furniture / Home Store,Soup Place
75658 CEDEX 13,Paris 13,Paris 13,48.8322,2.3561,3,Hotel,French Restaurant,Thai Restaurant,Vietnamese Restaurant,Indian Restaurant,Bar,Asian Restaurant,Bakery,Italian Restaurant,Gaming Cafe
75670 CEDEX 14,Paris 14,Paris 14,48.8331,2.3264,4,French Restaurant,Italian Restaurant,Hotel,Bar,Bistro,Wine Shop,Garden,Bakery,Sushi Restaurant,Brasserie
75673 CEDEX 14,Paris 14,Paris 14,48.8331,2.3264,4,French Restaurant,Italian Restaurant,Hotel,Bar,Bistro,Wine Shop,Garden,Bakery,Sushi Restaurant,Brasserie
75687 CEDEX 14,Paris 14,Paris 14,48.8331,2.3264,4,French Restaurant,Italian Restaurant,Hotel,Bar,Bistro,Wine Shop,Garden,Bakery,Sushi Restaurant,Brasserie
